label,maturity,coupon,bid_quote,ask_quote,clean_price,accrued_interest,dirty_price,wsj_asked_yield,street_yield_pct,modified_duration,years_to_maturity,n_cash_flows,in_fit,model_clean_price,price_error,model_yield_pct,yield_error_bp
4.625% 2026-09-15,2026-09-15,4.625,100,100.01,100.03125,2.224524457,102.2557745,2.937,2.916356434,0.01874835471,0.01917808219,1,False,100.0165411,-0.01470892582,3.673095621,75.67391869
0.875% 2026-09-30,2026-09-30,0.875,99.256,99.266,99.8359375,0.3849043716,100.2208419,3.625,3.596460917,0.05904747985,0.0602739726,1,False,99.83057067,-0.005366832058,3.685746116,8.928519839
1.625% 2026-09-30,2026-09-30,1.625,99.276,99.286,99.8984375,0.7148224044,100.6132599,3.318,3.29442728,0.05913520643,0.0602739726,1,False,99.87482367,-0.02361383172,3.685746116,39.13188356
3.500% 2026-09-30,2026-09-30,3.5,99.306,99.316,99.9921875,1.539617486,101.531805,3.603,3.575206401,0.05905364477,0.0602739726,1,False,99.98545617,-0.006731330863,3.685746116,11.05397149
4.625% 2026-10-15,2026-10-15,4.625,100.022,100.032,100.1015625,1.844945355,101.9465079,3.576,3.551229763,0.09932919226,0.101369863,1,False,100.0844952,-0.01706727585,3.717456268,16.62265042
1.125% 2026-10-31,2026-10-31,1.125,99.186,99.196,99.6171875,0.4004755435,100.017663,3.808,3.78235079,0.1413485894,0.1452054795,1,False,99.61884113,0.001653627227,3.770808684,-1.154210548
1.625% 2026-10-31,2026-10-31,1.625,99.212,99.222,99.6953125,0.5784646739,100.2737772,3.755,3.730353182,0.1413846654,0.1452054795,1,False,99.68950163,-0.005810865742,3.770808684,4.045550196
4.125% 2026-10-31,2026-10-31,4.125,100,100.01,100.03125,1.468410326,101.4996603,3.877,3.85027778,0.1413014892,0.1452054795,1,False,100.0428042,0.01155416941,3.770808684,-7.946909544
2.000% 2026-11-15,2026-11-15,2,99.204,99.214,99.671875,0.6304347826,100.3023098,3.787,3.76435528,0.1813689234,0.1863013699,1,False,99.66514906,-0.006725940007,3.800899654,3.654437376
4.625% 2026-11-15,2026-11-15,4.625,100.04,100.05,100.15625,1.457880435,101.6141304,3.741,3.719376182,0.1814089677,0.1863013699,1,False,100.1410495,-0.01520051502,3.800899654,8.152347184
6.500% 2026-11-15,2026-11-15,6.5,100.13,100.14,100.4375,2.048913043,102.486413,4.058,4.032098323,0.1811309203,0.1863013699,1,False,100.4809784,0.04347835997,3.800899654,-23.11986689
1.250% 2026-11-30,2026-11-30,1.25,99.126,99.136,99.4296875,0.3415300546,99.77121755,3.793,3.773505105,0.2225764887,0.2273972603,1,False,99.42164768,-0.008039824406,3.809346087,3.584098228
1.625% 2026-11-30,2026-11-30,1.625,99.156,99.166,99.5234375,0.443989071,99.96742657,3.747,3.727682608,0.2226265507,0.2273972603,1,False,99.50508278,-0.0183547208,3.809346087,8.166347995
